20,26;"admin.";*;*;"no";"no";"no";569
20,26;"admin.";*;*;"no";"no";"no";809
20,26;"admin.";*;*;"no";"no";"no";1658
20,26;"admin.";*;*;"no";"no";"no";2266
20,26;"admin.";*;*;"no";"no";"no";2480
20,26;"admin.";*;*;"no";"no";"no";3171
20,26;"admin.";*;*;"no";"no";"no";3678
20,26;"admin.";*;*;"no";"no";"no";4215
20,26;"admin.";*;*;"no";"no";"no";4554
20,26;"admin.";*;*;"no";"no";"no";4556
20,26;"admin.";*;*;"no";"no";"no";5003
20,26;"admin.";*;*;"no";"no";"no";6023
20,26;"admin.";*;*;"no";"no";"no";6194
20,26;"admin.";*;*;"no";"no";"no";6242
20,26;"admin.";*;*;"no";"no";"no";6506
20,26;"admin.";*;*;"no";"no";"no";6880
20,26;"admin.";*;*;"no";"no";"no";7385
20,26;"admin.";*;*;"no";"no";"no";7488
20,26;"admin.";*;*;"no";"no";"no";7499
20,26;"admin.";*;*;"no";"no";"no";7581
20,26;"admin.";*;*;"no";"no";"no";7787
20,26;"admin.";*;*;"no";"no";"no";7885
20,26;"admin.";*;*;"no";"no";"no";7909
20,26;"admin.";*;*;"no";"no";"no";7910
20,26;"admin.";*;*;"no";"no";"no";7933
20,26;"admin.";*;*;"no";"no";"no";8141
20,26;"admin.";*;*;"no";"no";"no";8351
20,26;"admin.";*;*;"no";"no";"no";8627
20,26;"admin.";*;*;"no";"no";"no";8649
20,26;"admin.";*;*;"no";"no";"no";8668
20,26;"admin.";*;*;"no";"no";"no";8789
20,26;"admin.";*;*;"no";"no";"no";8823
20,26;"admin.";*;*;"no";"no";"no";9801
20,26;"admin.";*;*;"no";"no";"no";9945
20,26;"admin.";*;*;"no";"no";"no";10820
20,26;"admin.";*;*;"no";"no";"no";11064
20,26;"admin.";*;*;"no";"no";"no";11096
20,26;"admin.";*;*;"no";"no";"no";11672
20,26;"admin.";*;*;"no";"no";"no";11774
20,26;"admin.";*;*;"no";"no";"no";11954
20,26;"admin.";*;*;"no";"no";"no";12051
20,26;"admin.";*;*;"no";"no";"no";12618
20,26;"admin.";*;*;"no";"no";"no";12620
20,26;"admin.";*;*;"no";"no";"no";12623
20,26;"admin.";*;*;"no";"no";"no";12795
20,26;"admin.";*;*;"no";"no";"no";12809
20,26;"admin.";*;*;"no";"no";"no";12904
20,26;"admin.";*;*;"no";"no";"no";13124
20,26;"admin.";*;*;"no";"no";"no";13408
20,26;"admin.";*;*;"no";"no";"no";13494
20,26;"admin.";*;*;"no";"no";"no";13569
20,26;"admin.";*;*;"no";"no";"no";13719
20,26;"admin.";*;*;"no";"no";"no";13816
20,26;"admin.";*;*;"no";"no";"no";14076
20,26;"admin.";*;*;"no";"no";"no";14168
20,26;"admin.";*;*;"no";"no";"no";14269
20,26;"admin.";*;*;"no";"no";"no";14290
20,26;"admin.";*;*;"no";"no";"no";14542
20,26;"admin.";*;*;"no";"no";"no";14583
20,26;"admin.";*;*;"no";"no";"no";14725
20,26;"admin.";*;*;"no";"no";"no";14739
20,26;"admin.";*;*;"no";"no";"no";14742
20,26;"admin.";*;*;"no";"no";"no";14953
20,26;"admin.";*;*;"no";"no";"no";14987
20,26;"admin.";*;*;"no";"no";"no";15161
20,26;"admin.";*;*;"no";"no";"no";15270
20,26;"admin.";*;*;"no";"no";"no";15473
20,26;"admin.";*;*;"no";"no";"no";15487
20,26;"admin.";*;*;"no";"no";"no";15523
20,26;"admin.";*;*;"no";"no";"no";15629
20,26;"admin.";*;*;"no";"no";"no";15684
20,26;"admin.";*;*;"no";"no";"no";15688
20,26;"admin.";*;*;"no";"no";"no";15943
20,26;"admin.";*;*;"no";"no";"no";15975
20,26;"admin.";*;*;"no";"no";"no";16397
20,26;"admin.";*;*;"no";"no";"no";16398
20,26;"admin.";*;*;"no";"no";"no";16402
20,26;"admin.";*;*;"no";"no";"no";16410
20,26;"admin.";*;*;"no";"no";"no";16545
20,26;"admin.";*;*;"no";"no";"no";16620
20,26;"admin.";*;*;"no";"no";"no";16642
20,26;"admin.";*;*;"no";"no";"no";16761
20,26;"admin.";*;*;"no";"no";"no";16774
20,26;"admin.";*;*;"no";"no";"no";17664
20,26;"admin.";*;*;"no";"no";"no";17833
